State,Time,Channel,Image,Headline
World,9 hours ago,Hindustan Times,https://news.google.com/api/attachments/CC8iL0NnNWthR2hRUWs5cVlVMHhibXB1VFJDb0FSaXNBaWdCTWdrVlJJYnJIU09xMVFB=-w200-h112-p-df,Houthis Rain Fire On 'Two Israeli & U.S. Ships' On Eid; Call It Revenge For 'Gaza Barbarity'
World,Yesterday,Arab News,https://news.google.com/api/attachments/CC8iK0NnNXJWRWxrY1RJMU5WRlNhV2t0VFJDM0FSaVRBaWdCTWdiQlVZeldvQWc=-w200-h112-p-df,Israel threatens to strike Iran directly if Iran launches attack from its territory
World,9 hours ago,Hindustan Times,https://news.google.com/api/attachments/CC8iL0NnNXBPRVpEUmkxMFZGVjBUbmhXVFJDZkF4amlCU2dLTWdrQkFJNnBPYVlWZ0FN=-w200-h112-p-df,India-UAE to work on IME Economic Corridor protocols in May
World,19 minutes ago,Hindustan Times,https://news.google.com/api/attachments/CC8iMkNnNDJjRWhUVlVwcGFXbElaM0JIVFJDZkF4ampCU2dLTWdzQklJQW5wV1BKTUpuTFJB=-w200-h112-p-df,"Latest News, Live Updates Today April 11, 2024: High moisture content major hurdle in wheat procurement in Haryana"
World,2 days ago,Mint,https://news.google.com/api/attachments/CC8iL0NnNUtWRTgzZEcxeWNGa3lRMWRFVFJDZkF4ampCU2dLTWdrQm9ZclVOQ2JCamdF=-w200-h112-p-df,"Eid-al-Fitr 2024 moon sighting: Crescent moon not sighted in Lucknow, Eid celebration on April 11; check prayer timings | Mint"
World,5 hours ago,Al Jazeera English,https://news.google.com/api/attachments/CC8iL0NnNDJWVVZHYUd4VVNrcHZMV1puVFJEZ0F4aUFCU2dLTWdrQkVKUWdENnN0YUFJ=-w280-h168-p-df,‘Overspeeding’ truck plunges into ravine killing 17 pilgrims in Pakistan
World,1 hour ago,Hindustan Times,https://news.google.com/api/attachments/CC8iK0NnNVJiREJOWldkNmIyTjJRWGhRVFJDZkF4ampCU2dLTWdhOVk0NVJMUWM=-w280-h168-p-df,"Justin Trudeau rakes up Nijjar killing again, says earlier govt was 'cosy' with India | 5 points"
World,4 hours ago,The Times of India,https://news.google.com/api/attachments/CC8iMkNnNTFiSE5OTkhoMVJsVkNTRGhNVFJEZ0F4aUFCU2dLTWdzRlFvU21udWx4dGxoTmln=-w280-h168-p-df,"Iran-Israel tension: Biden Vows ‘Ironclad’ Support For Netanyahu, Russia warns citizens against traveling to Mideast"
World,11 hours ago,Mint,https://news.google.com/api/attachments/CC8iJ0NnNUtObEJtYnpCc04wRTBjWG80VFJDZkF4ampCU2dLTWdNQmNBdw=-w280-h168-p-df,"Eid Mubark 2024: Top 10 wishes, WhatsApp messages, images, GIFs to share with your friends, family for Eid-ul-Fitr | Mint"
World,10 hours ago,India Today,https://news.google.com/api/attachments/CC8iK0NnNTJTbms1ZGxSNWVVeElVVkUxVFJDRUF4aXlCU2dLTWdZQk1JcnRsUW8=-w280-h168-p-df,South Korea's Opposition hands stinging defeat to President Yoon's party
World,2 hours ago,Al Jazeera English,https://news.google.com/api/attachments/CC8iK0NnNVliV0YxU0c5RlFqQkZaV2RRVFJDb0FSaXNBaWdCTWdhQlFJcVhJQWs=-w280-h168-p-df,Israeli army launches operation into Gaza’s Nuseirat refugee camp: AJE correspondent
World,2 hours ago,The Hindu,https://news.google.com/api/attachments/CC8iL0NnNHpMVkJDVXpKc2FUUjFTMVZMVFJDZkF4ampCU2dLTWdrRlFKYkVwU2dlNndF=-w280-h168-p-df,Vietnam property tycoon sentenced to death in multi-billion dollar fraud case
World,3 hours ago,Firstpost,https://news.google.com/api/attachments/CC8iK0NnNHhhR3RFYms1UVFVWXlSVkZLVFJDZkF4ampCU2dLTWdhaFJZN3NvUWc=-w280-h168-p-df,"Why is India posting defence attachés to African nations, Armenia, Philippines?"
World,7 hours ago,Hindustan Times,https://news.google.com/api/attachments/CC8iL0NnNURkMTh4VHpnMmRHcDNjUzFyVFJDZkF4amlCU2dLTWdtUkE0cFJpZXV4WUFN=-w280-h168-p-df,"Biden hosts Japanese PM at White House, guest list included Clintons, Tim Cook, Bezos among others"
World,5 hours ago,Hindustan Times,https://news.google.com/api/attachments/CC8iK0NnNXBOWGRmTFZWdFdXOUxWbU5YVFJDZkF4ampCU2dLTWdhbFJvd01xZ1k=-w280-h168-p-df,Millionaire Bryan Johnson shares photos of his age-reversing transformation over 6 years: ‘My face ID is confused’
India,48 minutes ago,NDTV,https://news.google.com/api/attachments/CC8iMkNnNVRlbE5QY0ZocGVXaG9aelpQVFJDeUF4akNCU2dLTWdzQk1Kb0RKeWdtYU5yZXNR=-w200-h112-p-df,3 IAS Officers' Lavish Paris Trip On Public Money Exposed By Chandigarh Audit Report
India,9 hours ago,Mint,https://news.google.com/api/attachments/CC8iI0NnNWlZbXBwY201UFRVNWtWRWxVVFJDZkF4ampCU2dLTWdB=-w280-h168-p-df,"Lok Sabha elections 2024 pre-poll survey: From unemployment to inflation, here are key issues in the upcoming polls | Mint"
India,4 hours ago,The Hindu,https://news.google.com/api/attachments/CC8iK0NnNHdVR1JyT1ZGVmVsSmZSRE4zVFJDZkF4ampCU2dLTWdZQlpKVERMUWc=-w280-h168-p-df,"After ED, now CBI arrests BRS leader Kavitha in Delhi excise policy case"
India,4 hours ago,Live Law - Indian Legal News,https://news.google.com/api/attachments/CC8iK0NnNDBiVUl4UWtaRVVtY3pXa1ozVFJDdEF4akxCU2dLTWdZQnNJb2h3QVU=-w280-h168-p-df,"Not Concerned With Patanjali Only, But All FMCG Companies Which Deceive Customers Selling Products With..."
India,1 hour ago,Hindustan Times,https://news.google.com/api/attachments/CC8iK0NnNWFXWFpDVVRGMk5IQlBhR0V5VFJDZkF4ampCU2dLTWdhSk5aek5tUWs=-w280-h168-p-df,School bus accident news LIVE: President Murmu condoles deaths in Mahendragarh
India,6 hours ago,NDTV,https://news.google.com/api/attachments/CC8iL0NnNUZVVkZCU1ZaMFQzQnZjblEwVFJDeUF4akNCU2dLTWdtQkk2Qk5HV3FaQlFN=-w280-h168-p-df,"Arvind Kejriwal's Private Secretary Sacked Over 2007 Case, AAP Reacts"
India,3 hours ago,BBC.com,https://news.google.com/api/attachments/CC8iL0NnNUdNbFZEVTFsaVMwZHZNa2xoVFJDZkF4ampCU2dLTWdtQk1ZNzB1S1c1cFFJ=-w280-h168-p-df,India’s Modi urges peace at China border
India,4 hours ago,The Times of India,https://news.google.com/api/attachments/CC8iK0NnNTBNMkYzUzE5c2EyOU5TbVl0VFJDZkF4ampCU2dLTWdhaFJJak5JUWc=-w280-h168-p-df,'Terrorists ko ghar mein ghus ke mara': PM Modi says no more suffering under 'weak goverment'
India,1 hour ago,NDTV,https://news.google.com/api/attachments/CC8iK0NnNVJSV3hzTlY5V05HSjFTMTlPVFJDeUF4akNCU2dLTWdhaFZJYXVwUVk=-w280-h168-p-df,Indira Gandhi Assassin Beant Singh's Son Contesting Polls From Punjab
India,6 hours ago,The News Minute,https://news.google.com/api/attachments/CC8iK0NnNDVTWHBCT1hKeVNUQnhhR1JIVFJDT0FoamdBeWdLTWdZVk00cUxJUVk=-w280-h168-p-df,How the BJP is trying to make inroads in Tamil Nadu with YouTube channels
India,11 hours ago,Hindustan Times,https://news.google.com/api/attachments/CC8iK0NnNXpOVmgyWm1SbE1qTjNRbFpZVFJDZkF4amlCU2dLTWdhaFpZenNMUVk=-w280-h168-p-df,Enforcement Directorate seeks arrest warrant against AAP MLA Amanatullah Khan
India,4 hours ago,Narendra Modi,https://news.google.com/api/attachments/CC8iK0NnNWFiVmRWYUhGUlZWZFZZMDl6VFJDb0FSaXNBaWdCTWdhRlVKaTNKQWc=-w280-h168-p-df,TEASER: Top Indian gamers meet PM Modi | @8bitthug@MortaLyt@Mythpat @SkRossi@PAYALGAMING@GamerFleet
India,7 hours ago,Hindustan Times,https://news.google.com/api/attachments/CC8iK0NnNUVZa3BLTFVoeFQwUnRaM2h5VFJDZkF4ampCU2dLTWdhdFZJNlBxUVk=-w280-h168-p-df,"At Eid prayer, Bengal CM Mamata Banerjee says ‘ready to shed blood for country', no to CAA and NRC"
India,6 hours ago,The Times of India,https://news.google.com/api/attachments/CC8iL0NnNXNVbUl4UzNsNFZIZzBjVXMxVFJDZkF4ampCU2dLTWdtQkVZcElscWt0cFFJ=-w280-h168-p-df,"'Bhagwa is not just yours': After fish meal, Tejashwi Yadav shares chopper orange party video"
India,3 hours ago,Times Now,https://news.google.com/api/attachments/CC8iMkNnNVVTamxGVjIxd1VrODRNVmxYVFJDZkF4ampCU2dLTWdzQkVKZzZJQ2pZcEtwZ2ln=-w280-h168-p-df,The AAP Rajya Sabha MPs 'Missing' From Protests Against Arvind Kejriwal's Arrest
Sports,6 hours ago,NDTV Sports,https://news.google.com/api/attachments/CC8iK0NnNVRhazh0ZG5OT1VtRlVjR1kxVFJEZ0F4al9CQ2dLTWdhcEpZN05tUWs=-w200-h112-p-df,"India's T20 World Cup Squad: Sunil Gavaskar Says Selectors Have ""Eye On"" Youngster With 10 50s In 15.."
Sports,2 hours ago,The Times of India,https://news.google.com/api/attachments/CC8iK0NnNUpRbkZUVGtsUGVsOVNVRTVxVFJDZkF4ampCU2dLTWdZZEJvN3NHUWc=-w200-h112-p-df,'I can eat the same thing for six months': Virat Kohli on his dietary discipline
Sports,5 hours ago,The Times of India,https://news.google.com/api/attachments/CC8iL0NnNXdWM3AzVGtKeldFUldkRU5HVFJDQUJSamdBeWdLTWdrQllKYVZLT2laS2dJ=-w200-h112-p-df,National Pet Day: Indian cricketers and their beloved pet dogs
Sports,Yesterday,India Today,https://news.google.com/api/attachments/CC8iK0NnNTNVWFJ5VlhCMFIwMVpkMEpyVFJDZkF4ampCU2dLTWdZQlVKZ2hyUWc=-w200-h112-p-df,'Smooth operator': Mahesh Babu's daughter Sitara with F1 driver Carlos Sainz
Sports,18 hours ago,Bar & Bench - Indian Legal News,https://news.google.com/api/attachments/CC8iK0NnNU1PRll0TXpCVFJrMTViMjUwVFJEZ0F4aUFCU2dLTWdZQkVJYTNXQU0=-w200-h112-p-df,Trilegal Partner Nisha Kaur Uberoi becomes a victim of cyber bullying and fake news
Sports,8 hours ago,NDTV Sports,https://news.google.com/api/attachments/CC8iI0NnNWhNVGN0WnpoeWMzbHpSMVU0VFJEZ0F4aUFCU2dLTWdB=-w280-h168-p-df,"""Don't Think Like That"": Shubman Gill's Reply To Harsha Bhogle On 'GT Left It Late' Is Warning For R.."
Sports,3 hours ago,CricTracker,https://news.google.com/api/attachments/CC8iK0NnNVlURm90ZGtaaU1WcGFkMUZaVFJDUUF4aUFCU2dLTWdhTklaRG5tQWs=-w280-h168-p-df,"IPL 2024: Match 25, MI vs RCB Match Prediction – Who will win today’s IPL match between MI vs RCB?"
Sports,10 hours ago,ESPN India,https://news.google.com/api/attachments/CC8iK0NnNVBUa1Z5ZEZVeVdrUm1lRk5CVFJDb0FSaXNBaWdCTWdZVmQ0WkpzZ1U=-w280-h168-p-df,"FIDE Candidates 2024: Gukesh remains in joint-lead, wins for Pragg and Vidit in R6"
Sports,10 hours ago,Hindustan Times,https://news.google.com/api/attachments/CC8iI0NnNHpTMDlEWkhoMVNXazFlbEIzVFJDZkF4ampCU2dLTWdB=-w280-h168-p-df,"Sanju Samson faces stern BCCI action over code of conduct breach during RR vs GT match, slapped with INR 12 lakh fine"
Sports,4 hours ago,The Hindu,https://news.google.com/api/attachments/CC8iK0NnNXJUelp5UzBoWVRsQnVhSGhqVFJDZkF4ampCU2dLTWdhdEk0cXVtUWs=-w280-h168-p-df,Hardik Pandya's stepbrother held for cheating cricketer of over ₹4 crore in business
Sports,1 hour ago,Business Manchester,https://news.google.com/api/attachments/CC8iK0NnNTRjakJ4TFdoblIzRklTbVJOVFJERUF4aW1CU2dLTWdZQllJYW9xQVk=-w280-h168-p-df,"IPL 2024: Lucknow Super Giants V Delhi Capitals - Preview, Expected Line-ups, Free Bets And Offers"
Sports,2 hours ago,Hindustan Times,https://news.google.com/api/attachments/CC8iK0NnNDRNRXMzY2w5cVNHcFdWVGhtVFJDMUFoaWxCQ2dLTWdhSkpZVG1tZ28=-w280-h168-p-df,"Yashasvi Jaiswal's patchy IPL form keeps Rohit Sharma, Ajit Agarkar on the edge before T20 World Cup"
Sports,3 hours ago,Hindustan Times,https://news.google.com/api/attachments/CC8iK0NnNVdXWEZTVkdwMmQwTjZUREZDVFJDZkF4ampCU2dLTWdZcFFJaXRJUWc=-w280-h168-p-df,'People are disappointed because Gautam Gambhir hugged me': Virat Kohli gets upfront on lack of 'masala'
Sports,29 minutes ago,Barca Universal,https://news.google.com/api/attachments/CC8iK0NnNVdiMVpQUVdscGIzWXpSMDlZVFJERUF4aW1CU2dLTWdZMUU0NXdrUWs=-w280-h168-p-df,Movistar issues apology for pundit's distasteful comment directed at Lamine Yamal
Sports,14 hours ago,Barca Blaugranes,https://news.google.com/api/attachments/CC8iI0NnNXVZamg2TTNZd1FVbFNXbnBrVFJERUF4aW1CU2dLTWdB=-w280-h168-p-df,Xavi hails Barcelona's 'small advantage but big victory' over PSG in Champions League
Entertainment,Yesterday,Hindustan Times,https://news.google.com/api/attachments/CC8iK0NnNWxhbFp6Y3paclpFTllOak0xVFJDZkF4ampCU2dLTWdZcE5Zek9LUWM=-w200-h112-p-df,"Sagittarius Daily Horoscope Today, April 10, 2024 predicts no major monetary issue"
Entertainment,10 hours ago,123telugu,https://news.google.com/api/attachments/CC8iI0NnNDFXR3h3YldORmFsVlZUV1JuVFJDREF4am1BU2dLTWdB=-w200-h112-p-df,Agent beauty announces her next
Entertainment,18 hours ago,Hindustan Times,https://news.google.com/api/attachments/CC8iI0NnNTZjWFpNWWpKeVVuQkhOMHRsVFJDZkF4ampCU2dLTWdB=-w200-h112-p-df,"Capricorn Daily Horoscope Today, April 11, 2024 advises to manifest with number 4"
Entertainment,6 hours ago,The Times of India,https://news.google.com/api/attachments/CC8iK0NnNHRTVmRtUm5aU1RHMTJUVWxMVFJDZkF4ampCU2dLTWdZaE01QlJIUWM=-w200-h112-p-df,From getting matching outfits to cooking yummy delicacies; a peek into Dipika Kakar and Shoaib Ibrahim’s first Eid prep with son Ruhaan
