State,Time,Channel,Image,Headline
Entertainment,Yesterday,The Hindu,https://news.google.com/api/attachments/CC8iK0NnNWhjeTFTZERoSGJubGlOM2xaVFJDZkF4ampCU2dLTWdZdFpaQ3VLUWM=-w200-h112-p-df,"Ilaiyaraaja is above everybody, says counsel, opposing case filed by Echo Recording at Madras High Court"
Entertainment,Yesterday,News18,https://news.google.com/api/attachments/CC8iK0NnNXFUMXBuY1dWdU9HZG5iVWQxVFJDZkF4ampCU2dLTWdZbHRZRHNTUU0=-w200-h112-p-df,Kriti Sanon Rocks Denim-on-Denim Trend Like A Total Pro; Pics Inside
Entertainment,8 hours ago,The Indian Express,https://news.google.com/api/attachments/CC8iL0NnNVpWRUZyZEZSak9UWm1ZV0ZVVFJDZkF4ampCU2dLTWdrNVVZaHdvYWd0OHdB=-w200-h112-p-df,Prithviraj recalls when wife Supriya started throwing up in a rented Ferrari: ‘We switched to a Hyundai’
Entertainment,17 hours ago,Koreaboo,https://news.google.com/api/attachments/CC8iI0NnNUZlVzR0YUVkbVZURnNSbVJMVFJDUkF4ajhCU2dLTWdB=-w200-h112-p-df,"2PM's Ok Taecyeon Surprises ""Vincenzo"" Fans By Reuniting With Co-Star At 2024 ASEA"
Entertainment,6 hours ago,Koimoi,https://news.google.com/api/attachments/CC8iL0NnNXBjVGxqTFhGeU4yYzFZaTFQVFJDUkF4ajhCU2dLTWdrQllKUjRKR2pRNmdF=-w280-h168-p-df,Bade Miyan Chote Miyan Box Office Day 1 Morning Occupancy: Below Average Start For Akshay Kumar & Tiger Shroff Starrer Despite Eid Holiday!
Entertainment,4 hours ago,Hindustan Times,https://news.google.com/api/attachments/CC8iK0NnNVZOMVl5ZDJGNU0wSm9aVTh4VFJDZkF4ampCU2dLTWdhZFJKTExuUWM=-w280-h168-p-df,Allu Arjun’s Pushpa 2 The Rule makers spent ₹60 crore on Gangamma Thalli jatara scene: Report
Business,7 hours ago,Mint,https://news.google.com/api/attachments/CC8iJ0NnNVlUMjloYzFacmFHdDFTMDF0VFJDZkF4ampCU2dLTWdPaFJBZw=-w200-h112-p-df,US Fed rate cut unlikely in June as US inflation hots up. What this means for Indian investors and what should they do? | Mint
Business,4 hours ago,Moneycontrol,https://news.google.com/api/attachments/CC8iK0NnNUxRbWcwUTJ0a2MwTkJhMlZrVFJDZkF4ampCU2dLTWdZNXdvUVN2UVE=-w200-h112-p-df,"NTPC Green shortlists four i-banks for Rs 10,000 crore IPO"
Business,7 hours ago,ET Now,https://news.google.com/api/attachments/CC8iL0NnNXFRMDFWT0dndFVteFJaMVJUVFJDZkF4ampCU2dLTWdrTllJNm1ObVl1N0FF=-w200-h112-p-df,"Sanjiv Bhasin Stocks, Share Price Target: Top Picks! Tata Steel, Hindalco and Vedanta - Book profit or HOLD?"
Business,Yesterday,Moneycontrol,https://news.google.com/api/attachments/CC8iL0NnNHhTblEzWDBWRVRrbFZkbEEwVFJDZkF4ampCU2dLTWdrVllZQnFyV0l0MHdB=-w200-h112-p-df,"Heatwave hustle: From soda pop to AC tops, summer sales soar for e-commerce companies"
Business,4 hours ago,The Times of India,https://news.google.com/api/attachments/CC8iL0NnNUlhRkJLTTIxVllUZDBSbVJDVFJDZkF4ampCU2dLTWdtQkVKS2hNdWRTendF=-w280-h168-p-df,‘Stabilised our operations; were stretched in pilot rosters:’ Vistara CEO Kannan
Business,5 hours ago,BBC.com,https://news.google.com/api/attachments/CC8iL0NnNXJZbkJXTjJaM2FsRmZjRFpxVFJDZkF4ampCU2dLTWdrRlVZNEVIeWttVUFF=-w280-h168-p-df,Elon Musk: Tesla boss to visit India for meeting with PM Modi
Business,4 hours ago,Moneycontrol,https://news.google.com/api/attachments/CC8iK0NnNTRVMXBYVTBsYVMxVTFjRWgyVFJDZkF4ampCU2dLTWdhWkU0TE1sUUk=-w280-h168-p-df,"TCS Earnings Preview: Q4 revenue to ride on deal wins; margin, profitability to improve"
Business,Yesterday,Mint,https://news.google.com/api/attachments/CC8iK0NnNDFaazh4U1dWRGVtSnNjbVpQVFJDZkF4ampCU2dLTWdhTktJeW5GZ1U=-w280-h168-p-df,"Thanks to SEBI's crackdown on small caps, inflow into equity mutual funds slipped 16 per cent in March, AMFI data | Mint"
Business,12 hours ago,DNA India,https://news.google.com/api/attachments/CC8iK0NnNTJXWGRTWkhCZlJYQkNaVmRMVFJDZkF4amlCU2dLTWdhcGRZN05MUWM=-w280-h168-p-df,Mukesh Ambani's company to lead massive Rs 1 lakh crore investment in...
Business,8 hours ago,91mobiles,https://news.google.com/api/attachments/CC8iJ0NnNVhUV0ZIV0U5blZuTnRlVVkwVFJDZkF4ampCU2dLTWdNWmRCQQ=-w280-h168-p-df,"OnePlus phones will reportedly stop selling in over 4,500 offline stores in India"
Business,9 hours ago,RushLane,https://news.google.com/api/attachments/CC8iK0NnNUxSRXhyWTJGQlZuZGZVM1Z2VFJDZkF4ampCU2dLTWdZbEFJYXVFUVU=-w280-h168-p-df,Bajaj Pulsar 400 Launch Date 3rd May - To Be Priced Below Dominar?
Business,7 hours ago,Hindustan Times,https://news.google.com/api/attachments/CC8iK0NnNWxORVpOYW5kUFRtODFkVmRIVFJDZkF4ampCU2dLTWdhaGRvNExyZ1k=-w280-h168-p-df,S Jaishankar says India's UPI transactions way more than US digital payments
Business,10 hours ago,The Economic Times,https://news.google.com/api/attachments/CC8iL0NnNUVXVEJEYkdSc1pIUlViR2xtVFJEZ0F4aUFCU2dLTWdrQmxZVGp1V1BvOUFB=-w280-h168-p-df,Are Indian stock markets NSE & BSE open today for trading?
Business,8 hours ago,The Economic Times,https://news.google.com/api/attachments/CC8iL0NnNW5aWE5ZTUU1cVdIVTNaakJYVFJEb0FoamdBeWdLTWdrZGRZVE1xU2R6MXdB=-w280-h168-p-df,election stock ideas: Election picks: 5 stock ideas that may benefit if PM Modi returns to power - Play on Polls
Business,2 hours ago,Economies.com,https://news.google.com/api/attachments/CC8iK0NnNUdkalZVUVVOcVZVUnZiR2x2VFJDWkFSakpBaWdCTWdZSlJvQklyZ2M=-w280-h168-p-df,Gold price gathers the positive momentum – Forecast today - 10-04-2024
Science,Yesterday,India Today,https://news.google.com/api/attachments/CC8iJ0NnNXRjWFpIWVRJdFRsa3lPVkpKVFJDb0FSaXNBaWdCTWdNQkVBTQ=-w200-h112-p-df,Guarding the Sun: Inside India's 125-year-old Kodaikanal Solar Observatory
Science,Yesterday,India Today,https://news.google.com/api/attachments/CC8iJ0NnNW9iRGx0WlhsVGJsOHpXVFk1VFJDZkF4ampCU2dLTWdPbGhSQQ=-w200-h112-p-df,Indian scientists reveal why 38 SpaceX satellites crashed in 2022
Science,2 days ago,NDTV,https://news.google.com/api/attachments/CC8iK0NnNDVTVWxZZEhwck1YazBORkZxVFJDeUF4akNCU2dLTWdZcGRaRE9zUWM=-w200-h112-p-df,Solar Flares Seen During Total Solar Eclipse. Here's What It Means
Science,Yesterday,Hindustan Times,https://news.google.com/api/attachments/CC8iK0NnNDFaSFJZYWxWdWR6RXdXWFEwVFJEakJSaWZBeWdLTWdhSk1ZZ3FwUVE=-w200-h112-p-df,10 striking images of star birth captured by NASA
Science,Yesterday,The Times of India,https://news.google.com/api/attachments/CC8iK0NnNVZaSE5uWW01SlFuZHRka0V6VFJEZkF4aUFCU2dLTWdheEZJaXVsUWc=-w200-h112-p-df,Explained: Earth has its own time then why is US working on a lunar standard time
Science,11 hours ago,AP Archive,https://news.google.com/api/attachments/CC8iJ0NnNUlWa3BIZG1GTFRGcG9ZV1ZqVFJDb0FSaXNBaWdCTWdPcGRSSQ=-w280-h168-p-df,Explainer : What to know about the upcoming total solar eclipse
Science,7 hours ago,Hindustan Times,https://news.google.com/api/attachments/CC8iL0NnNVFaemt0Wm5KNmVuQlhkRmsyVFJDZkF4amlCU2dLTWdrQlVJeDNJQ2V4cWdF=-w280-h168-p-df,"9.4-foot space horror! This asteroid set to get as close as 18700 km to Earth today, says NASA"
Science,4 hours ago,Mint,https://news.google.com/api/attachments/CC8iK0NnNW1RbU5sYjFGWFpFWkJTbmxMVFJDZkF4ampCU2dLTWdZUk1veU1QUWM=-w280-h168-p-df,"Russian spacecraft comes alarmingly close to colliding with US satellite, NASA ‘very shocked’ | Mint"
Science,8 hours ago,The Indian Express,https://news.google.com/api/attachments/CC8iI0NnNXFUM2d3WmtSTk1HSmtNbTVsVFJDZkF4ampCU2dLTWdB=-w280-h168-p-df,Indian physicists remember Peter Higgs whose innovative work helped to have better understanding of Universe
Science,6 hours ago,India Today,https://news.google.com/api/attachments/CC8iK0NnNHRPRTE2WkRac1RGWjNVVE10VFJDZkF4ampCU2dLTWdZdGtJcFJOUVk=-w280-h168-p-df,Nasa's solar sail is ready to fly in space without air
Technology,6 hours ago,91mobiles,https://news.google.com/api/attachments/CC8iJ0NnNHpNVmR4WkRrMlMyNXpWVEJpVFJDZkF4ampCU2dLTWdNUllndw=-w200-h112-p-df,"Redmi Pad Pro with 12.1-inch 2.5K display, Snapdragon 7s Gen 3 SoC launched in China: price, specifications"
Technology,Yesterday,Android Police,https://news.google.com/api/attachments/CC8iI0NnNTRaVVV5ZDNkNWFuVkdNVWN6VFJDbEFSaXlBaWdCTWdB=-w200-h112-p-df,Gmail: How to send files over 25MB
Technology,Yesterday,The Hindu,https://news.google.com/api/attachments/CC8iK0NnNDFVbTFKV214ZlgwNDRSVVZSVFJDZkF4ampCU2dLTWdhWmNvcU9zUVU=-w200-h112-p-df,How to restrict WhatsApp media downloads and gallery visibility on Android
Technology,2 days ago,The Indian Express,https://news.google.com/api/attachments/CC8iL0NnNVFNalZoUlMxcFJGa3lNM1pyVFJDZkF4ampCU2dLTWdrVllvUXdyU2FETVFF=-w200-h112-p-df,Charge to 100% in minutes: Top 5 devices with ultra fast charging capabilities
Technology,2 days ago,Mint,https://news.google.com/api/attachments/CC8iK0NnNUpRbTluT0hsWGFHMVFkVGh6VFJDZkF4ampCU2dLTWdhVlFwQ3FwUWs=-w200-h112-p-df,Best 1TB SSD laptops: Top 6 picks for students and gaming enthusiasts to truly unlock an enhanced experience | Mint
Technology,6 hours ago,Gadgets 360,https://news.google.com/api/attachments/CC8iK0NnNTJjMVF3Tkd0a1oyaExjVWszVFJERUF4aW1CU2dLTWdZcFJaS3RIUWs=-w280-h168-p-df,Apple Warns iPhone Users of 'Mercenary Spyware' Attack in 92 Countries
Technology,8 hours ago,Mint,https://news.google.com/api/attachments/CC8iL0NnNUNRak5qYWs1SFluaFBVRTAyVFJDZkF4ampCU2dLTWdrSlFvYnNRT1dwS0FJ=-w280-h168-p-df,"Garena Free Fire Max redeem code for April 11, 2024: Win free in-game goodies like diamonds and weapons | Mint"
Technology,35 minutes ago,The Times of India,https://news.google.com/api/attachments/CC8iL0NnNUhZakpPVERKamNWTkZjVFk0VFJDZkF4ampCU2dLTWdtZFlZeE11U1V0U2dJ=-w280-h168-p-df,Google shows of its cloud AI tools for companies after CEO Sundar Pichai's “completely unacceptable” blas
Technology,2 hours ago,GSMArena.com,https://news.google.com/api/attachments/CC8iK0NnNHpXbVY0U2t4TVlYZFhZMlZFVFJEckFoak1CaWdLTWdZbEJJU3ROUVk=-w280-h168-p-df,Realme Pad 2's Wi-Fi model is launching with the P-series smartphones next week - GSMArena.com news
Technology,6 hours ago,Business Standard,https://news.google.com/api/attachments/CC8iK0NnNVlVMU5NVW10UmNsUkdkbVpGVFJEUUF4anNCQ2dLTWdZQlFJN01KUWc=-w280-h168-p-df,Google to make Pixel AI image editor free in Google Photos: Details here
Health,8 hours ago,BusinessLine,https://news.google.com/api/attachments/CC8iJ0NnNDJVbTlOTkhWWWVVcDFiMjQwVFJDZkF4ampCU2dLTWdPQmdRWQ=-w200-h112-p-df,Whooping cough is surging in China with more than a dozen deaths
Health,4 hours ago,Moneycontrol,https://news.google.com/api/attachments/CC8iK0NnNVFSa1JUWDJNNVdXTktUbEZhVFJDZkF4ampCU2dLTWdZQklJVEVJQVE=-w200-h112-p-df,Best home remedies for glowing skin: These hydrating summer drinks will nourish your skin from within
Health,1 hour ago,The Indian Express,https://news.google.com/api/attachments/CC8iK0NnNTZYMGhyU2xkTVVHeFRXR1JRVFJDQUJSamdBeWdLTWdZTllvNXFxUVU=-w200-h112-p-df,Benefits of eating papaya on an empty stomach
Health,1 hour ago,The Indian Express,https://news.google.com/api/attachments/CC8iL0NnNDNkVEpaZWs1aFZpMHpRbUY0VFJDZkF4ampCU2dLTWdtTlE0ckhNYVZqcVFJ=-w200-h112-p-df,Nutrition alert: Here’s what a 100-gram serving of mishrikand contains
Health,2 hours ago,Hindustan Times,https://news.google.com/api/attachments/CC8iL0NnNWFYMEZ5Y0ZsWldtaENVbEJYVFJEakJSaWZBeWdLTWdrQk1KSW9KaWpvYlFF=-w200-h112-p-df,5 herbs to aid weight loss
Health,5 hours ago,CNBC-TV18,https://news.google.com/api/attachments/CC8iMkNnNHhUMDVuWTJWUU0yWm1TWEpzVFJDb0FSaXNBaWdCTWdzRkFJUUR0Nll0bUFpSnNR=-w280-h168-p-df,Think Of Treating NCDs Early & Treating It Well: Dr Hemant P Thacker | The Medicine Box | N18V
Health,1 hour ago,The Indian Express,https://news.google.com/api/attachments/CC8iL0NnNTJVbXh1UWsxbGFtRkZjREE1VFJDZkF4ampCU2dLTWdrQklKQ0ZIdVpqeGdJ=-w280-h168-p-df,Is the hot and humid condition in Pune increasing your chances of suffering heat stroke? Find out how to stay safe
Health,6 hours ago,Adda247,https://news.google.com/api/attachments/CC8iK0NnNXBWMFZ6VjJvMlUxZFVXRVJ1VFJDR0F4aThCU2dLTWdZTkJKS05QUVk=-w280-h168-p-df,India Ranks Second in Hepatitis B and C Cases Worldwide
Health,5 hours ago,India TV News,https://news.google.com/api/attachments/CC8iK0NnNWtZWGs1U1RsMlNuTnhSMmMxVFJDZkF4ampCU2dLTWdhdFU0eVFNUVk=-w280-h168-p-df,World Parkinson's Day 2024: Can genetic testing predict the degenerative brain condition's risk?
Health,5 hours ago,Daijiworld.com,https://news.google.com/api/attachments/CC8iI0NnNWpabkZEY21Kbk1WQlpjRE0yVFJESUFSaklBU2dCTWdB=-w280-h168-p-df,How a healthy diet can help people with Parkinson's
